overall,potential,age,league_id,league_name,club_team_id,club_name,value_eur,nationality_id,nationality_name,preferred_foot,club_jersey_number,Goalkeeper,Defense,Midfield,Attack
2.7152954604437363,2.9892617161610846,22,53,La Liga,243,Real Madrid,174500000,14,England,1,5,0,0,1,0
2.5836723365046588,2.358384665909134,26,53,La Liga,243,Real Madrid,120500000,60,Uruguay,1,8,0,1,1,0
2.5836723365046588,2.2006654033461466,30,19,Bundesliga,21,FC Bayern München,86000000,21,Germany,1,6,0,1,1,0
2.5836723365046588,2.358384665909134,26,16,Ligue 1,73,Paris Saint-Germain,111000000,129,Morocco,1,2,0,1,1,0
2.3204260886265033,1.8852268782201715,28,31,Serie A,44,Inter,79500000,27,Italy,1,23,0,0,1,0
2.188802964687426,1.7275076156571838,31,31,Serie A,44,Inter,47500000,48,Türkiye,1,20,0,0,1,0
2.0571798407483484,1.5697883530941963,27,31,Serie A,44,Inter,52000000,27,Italy,0,32,0,1,1,0
2.3204260886265033,2.042946140783159,26,13,Premier League,9,Liverpool,93000000,52,Argentina,1,10,0,0,1,0
2.7152954604437363,2.358384665909134,29,13,Premier League,10,Manchester City,102000000,45,Spain,1,16,0,0,1,0
2.0571798407483484,1.5697883530941963,34,53,La Liga,240,Atlético Madrid,26000000,18,France,0,7,0,0,1,1
1.9255567168092707,1.5697883530941963,27,350,Pro League,605,Al Hilal,44500000,18,France,0,19,0,1,1,0
2.3204260886265033,1.8852268782201715,30,13,Premier League,11,Manchester United,77000000,38,Portugal,1,8,0,0,1,0
2.3204260886265033,2.358384665909134,25,53,La Liga,240,Atlético Madrid,107000000,52,Argentina,1,19,0,0,0,1
2.188802964687426,1.8852268782201715,26,53,La Liga,243,Real Madrid,73000000,14,England,1,12,0,1,1,0
1.9255567168092707,2.042946140783159,25,53,La Liga,448,Athletic Club,58500000,45,Spain,1,8,0,0,1,1
1.793933592870193,1.254349827968221,30,31,Serie A,47,AC Milan,35000000,18,France,0,12,0,0,1,0
2.188802964687426,2.042946140783159,25,13,Premier League,13,Newcastle United,76500000,27,Italy,1,8,0,0,1,0
1.9255567168092707,1.4120690905312088,30,53,La Liga,240,Atlético Madrid,36500000,45,Spain,1,14,0,1,1,0
1.6623104689311152,1.0966305654052335,30,19,Bundesliga,21,FC Bayern München,29000000,21,Germany,1,8,0,0,1,0
2.5836723365046588,2.516103928472122,25,16,Ligue 1,73,Paris Saint-Germain,128500000,38,Portugal,1,17,0,0,1,0
2.846918584382814,2.516103928472122,33,13,Premier League,9,Liverpool,82000000,111,Egypt,0,11,0,0,1,1
1.39906422105296,0.7811920402792583,31,19,Bundesliga,22,Borussia Dortmund,15000000,4,Austria,1,20,0,0,1,0
2.3204260886265033,2.042946140783159,26,13,Premier League,1,Arsenal,83500000,14,England,1,41,0,0,1,0
1.9255567168092707,1.4120690905312088,31,350,Pro League,605,Al Hilal,30500000,38,Portugal,1,20,0,1,1,0
2.3204260886265033,1.8852268782201715,28,53,La Liga,241,FC Barcelona,79500000,34,Netherlands,1,21,0,0,1,0
2.188802964687426,1.8852268782201715,26,13,Premier League,10,Manchester City,79500000,34,Netherlands,1,4,0,0,1,0
1.793933592870193,1.7275076156571838,24,13,Premier League,9,Liverpool,49500000,23,Hungary,1,8,0,0,1,0
2.5836723365046588,2.2006654033461466,28,53,La Liga,241,FC Barcelona,104000000,54,Brazil,0,11,0,0,1,1
2.4520492125655813,2.358384665909134,23,13,Premier League,1,Arsenal,118500000,14,England,0,7,0,0,1,1
1.9255567168092707,1.4120690905312088,30,350,Pro League,605,Al Hilal,40500000,51,Serbia,1,22,0,0,1,0
2.5836723365046588,2.831542453598097,22,53,La Liga,241,FC Barcelona,149500000,45,Spain,1,8,0,0,1,0
2.188802964687426,1.8852268782201715,27,13,Premier League,13,Newcastle United,77500000,54,Brazil,1,39,0,0,1,0
2.7152954604437363,2.358384665909134,28,16,Ligue 1,73,Paris Saint-Germain,122500000,18,France,0,10,0,0,1,1
2.0571798407483484,2.358384665909134,20,16,Ligue 1,73,Paris Saint-Germain,79500000,38,Portugal,1,87,0,0,1,0
2.0571798407483484,2.042946140783159,23,13,Premier League,9,Liverpool,66500000,34,Netherlands,1,38,0,0,1,0
2.4520492125655813,2.042946140783159,27,31,Serie A,44,Inter,99000000,52,Argentina,1,10,0,0,0,1
1.793933592870193,1.254349827968221,36,31,Serie A,44,Inter,11500000,3,Armenia,1,22,0,0,1,0
2.3204260886265033,1.8852268782201715,34,31,Serie A,48,Napoli,36500000,7,Belgium,1,11,0,0,1,0
1.5306873449920377,0.9389113028422459,27,31,Serie A,45,Juventus,27500000,34,Netherlands,0,8,0,0,1,0
